code	r	pubDate	total_assets	total_liability	market_cap	roe	pcf_ratio	pe_ratio_lyr	pb_ratio	net_profit_to_total_revenue	eps
600875.XSHG	0.010081300813008133	2017-10-28	79443910783.57	56881573663.53	243.7387	0.2504	6.6897	-13.6601	1.1316	0.8317	0.02
600885.XSHG	0.045691056910569114	2017-10-31	7690392263.81	2484669555.88	220.875	4.7589999999999995	707.6632	37.9661	5.9897	16.8002	0.34
600973.XSHG	0.009674796747967476	2017-10-31	14049513169.82	9955684388.14	70.1493	0.8812	-18.6911	26.4047	1.9515	0.6796	0.027999999999999997
601012.XSHG	-0.027560975609756073	2017-10-31	29485502902.4	17269346896.64	588.189	8.6197	18.8779	38.0155	5.275	21.9034	0.5
601126.XSHG	0.014878048780487799	2017-10-27	5718337226.7	1864408851.92	72.5349	2.8966	39.7906	24.5104	1.9379	12.6325	0.1353
601179.XSHG	0.01154471544715447	2017-10-31	34234921128.43	14042678572.42	279.8732	0.2937	46.7337	24.8139	1.4682	2.0085	0.01
601218.XSHG	0.008861788617886177	2017-10-30	4166112614.88	1555554126.39	42.7449	-0.4741	-54.3054	36.4074	1.6573	-3.5916	-0.01
601222.XSHG	0.014227642276422764	2017-10-28	13877124393.7	5128980695.99	156.4749	2.5022	34.6306	32.982	1.8648	22.5598	0.12
601558.XSHG	0.004227642276422764	2017-10-28	7206835304.57	5652890288.64	106.7416	-4.2082	-100.0457	-3.444	6.5858	-354.6642	-0.01
601567.XSHG	0.016016260162601617	2017-10-24	11943343590.62	5030063686.57	157.5882	2.69	-12.2345	19.8412	2.3681	13.0219	0.13
601616.XSHG	0.008617886178861793	2017-10-28	2796966063.42	380763859.46	42.0073	0.1978	60.7021	-37.3843	1.7930000000000001	2.6369	0.005
601700.XSHG	0.023333333333333334	2017-10-24	4582162092.2	1563840546.15	84.5391	1.4023	119.8444	40.6132	2.8211	7.8683	0.04
601727.XSHG	0.01902439024390244	2017-10-31	196863369000.0	129636957000.0	1077.1792	0.6359	-52.827	52.2859	2.3157	5.5085	0.0234
601877.XSHG	-0.03674796747967479	2017-10-28	42100730120.68	22252089172.86	460.1279	3.7908	10.9917	21.0608	2.4896	12.3836	0.33
601908.XSHG	0.0029268292682926855	2017-10-31	13267423143.76	6705445409.98	113.9315	2.8338	113.9845	44.1582	1.8155	33.1092	0.09
603015.XSHG	0.016829268292682914	2017-10-28	1547324365.12	362326849.62	43.1846	0.9658	66.0169	81.2107	3.6758	4.791	0.03
603016.XSHG	0.12365853658536587	2017-10-26	916759562.06	98161796.28	55.2637	0.6107	-20.6321	83.8033	6.9575	6.0141	0.03
603025.XSHG	0.002926829268292693	2017-10-26	1930135532.29	204374180.6	137.035	7.4649	-884.4323	57.3953	9.155	41.8368	0.27
603050.XSHG	0.09032520325203254	2017-10-28	1681666373.31	746774820.66	46.8823	0.9722	289.4152	70.4584	5.0646	4.9386	0.07
603063.XSHG	0.04276422764227642	2017-10-28	2743348137.82	412199492.44	91.14	2.8827	40.6892	34.7712	4.0049	27.6115	0.1321
603100.XSHG	0.010325203252032516	2017-10-31	4728756144.33	2767659455.45	45.74100000000001	2.0688	-37.5208	35.4569	2.3948	4.5912	0.1
603218.XSHG	0.1078048780487805	2017-10-27	3617613915.77	895124427.05	122.706	2.2031	177.4184	36.1984	4.7139999999999995	11.5312	0.15
603320.XSHG	0.12097560975609756	2017-10-27	713664026.59	130890977.85	46.36	1.8881	51.3514	101.0259	8.1067	6.5501	0.11
603333.XSHG	0.008943089430894313	2017-10-30	1803889015.55	377860776.34	37.1284	0.8543	-32.8332	-47.8503	2.6264	5.1703	0.023
603416.XSHG	0.04422764227642274	2017-10-26	1042972198.89	137476137.64	51.0514	3.8322	-77.5447	50.9544	5.8594	29.1313	0.24
603488.XSHG	-0.006829268292682926	2017-10-27	858880032.72	79257000.84	32.5312	2.9446	-126.5235	44.8392	4.2992	28.5634	0.11
603577.XSHG	0.0713008130081301	2017-10-27	1625949570.25	770135919.23	32.6587	1.7437	20.8955	51.5106	3.9742	7.5255	0.0232
603606.XSHG	0.008211382113821143	2017-10-28	2397206796.96	1520670486.24	36.7567	1.0023	-1450.1647	70.8858	4.2356	1.4829	0.03
603618.XSHG	0.013495934959349587	2017-10-27	4939888730.37	2878273696.28	64.9787	1.6037	39.7447	47.788000000000004	2.8898	3.4983	0.0493
603628.XSHG	0.07252032520325205	2017-10-31	1953696701.75	986236787.88	49.2566	2.5997	70.1075	85.2953	5.4235	10.1093	0.09
603728.XSHG	0.03406504065040651	2017-10-30	2077787113.64	433989613.68	81.984	2.5842	9.8233	52.2818	5.1135	10.1523	0.1311
603806.XSHG	0.015447154471544733	2017-10-24	5469697310.82	656393999.24	140.9412	2.5302	-19.4768	16.6256	3.0045	10.5076	0.299
603819.XSHG	0.06772357723577235	2017-10-28	871719101.54	133362071.94	30.9	0.56	101.4865	67.6934	4.2082	2.1194	0.03
603859.XSHG	0.049512195121951215	2017-10-30	765938281.44	115506643.22	35.5783	0.4879	70.9338	83.9414	5.6325	10.8214	0.0272
603861.XSHG	0.05845528455284552	2017-10-31	3304988610.55	1297898929.24	88.0383	2.1654	-88.7588	54.5096	4.727	10.2032	0.0978
603988.XSHG	0.07487804878048782	2017-10-31	847658978.31	189507146.03	58.12	0.9679	185.1079	243.2734	8.9167	8.7318	0.0792
